Date,Price
01/01/2013,"70,66"
02/01/2013,"75,53"
03/01/2013,"75,68"
04/01/2013,"74,95"
05/01/2013,"75,22"
06/01/2013,"75,42"
07/01/2013,"75,68"
08/01/2013,"75,12"
09/01/2013,"74,81"
10/01/2013,"75,03"
11/01/2013,"75,61"
12/01/2013,"75,57"
13/01/2013,"75,57"
14/01/2013,"75,51"
15/01/2013,"76,18"
16/01/2013,"77,17"
17/01/2013,"77,81"
18/01/2013,"78,72"
19/01/2013,"78,71"
20/01/2013,"78,72"
21/01/2013,"79,36"
22/01/2013,"79,96"
23/01/2013,"80,47"
24/01/2013,"82,34"
25/01/2013,"80,76"
26/01/2013,"81,06"
27/01/2013,"81,23"
28/01/2013,"81,33"
29/01/2013,"82,43"
30/01/2013,"83,03"
31/01/2013,"83,03"
01/02/2013,"83,04"
02/02/2013,"82,56"
03/02/2013,"82,11"
04/02/2013,"81,61"
05/02/2013,"81,79"
06/02/2013,"81,95"
07/02/2013,"81,44"
08/02/2013,"82,74"
09/02/2013,"82,69"
10/02/2013,"82,74"
11/02/2013,"82,89"
12/02/2013,"81,61"
13/02/2013,"81,11"
14/02/2013,"80,98"
15/02/2013,"81,27"
16/02/2013,"82,04"
17/02/2013,"82,77"
18/02/2013,"83,5"
19/02/2013,"84,29"
20/02/2013,"84,48"
21/02/2013,"83,11"
22/02/2013,"82,96"
23/02/2013,"82,56"
24/02/2013,"82,18"
25/02/2013,"81,73"
26/02/2013,"81,89"
27/02/2013,"84,54"
28/02/2013,"85,18"
01/03/2013,"85,53"
02/03/2013,"85,84"
03/03/2013,"86,15"
04/03/2013,"86,45"
05/03/2013,"87,01"
06/03/2013,"87,32"
07/03/2013,"86,28"
08/03/2013,"86,78"
09/03/2013,"86,81"
10/03/2013,"86,87"
11/03/2013,"86,89"
12/03/2013,"87,33"
13/03/2013,"88,53"
14/03/2013,"90,93"
15/03/2013,"92,57"
16/03/2013,"91,87"
17/03/2013,"91,34"
18/03/2013,"90,77"
19/03/2013,"91,04"
20/03/2013,"89,07"
21/03/2013,"88,29"
22/03/2013,"87,11"
23/03/2013,"87,04"
24/03/2013,"86,89"
25/03/2013,"86,63"
26/03/2013,"87,84"
27/03/2013,"88,56"
28/03/2013,"88,39"
29/03/2013,"88,14"
30/03/2013,"87,89"
31/03/2013,"87,65"
01/04/2013,"87,29"
02/04/2013,"88,57"
03/04/2013,"89,11"
04/04/2013,"88,15"
05/04/2013,"86,71"
06/04/2013,"86,28"
07/04/2013,"85,77"
08/04/2013,"85,26"
09/04/2013,"84,64"
10/04/2013,"85,46"
11/04/2013,"84,64"
12/04/2013,"85,99"
13/04/2013,"85,3"
14/04/2013,"84,75"
15/04/2013,"84,21"
16/04/2013,"83,36"
17/04/2013,"84,57"
18/04/2013,"83,46"
19/04/2013,"83,34"
20/04/2013,"84,23"
21/04/2013,"85,04"
22/04/2013,"86,02"
23/04/2013,"84,88"
24/04/2013,"82,99"
25/04/2013,"83,42"
26/04/2013,"84,32"
27/04/2013,"84,85"
28/04/2013,"85,4"
29/04/2013,"85,89"
30/04/2013,"87,53"
01/05/2013,"83,93"
02/05/2013,"85,66"
03/05/2013,"86,28"
04/05/2013,"86,63"
05/05/2013,87
06/05/2013,"87,42"
07/05/2013,"87,13"
08/05/2013,"87,71"
09/05/2013,"87,72"
10/05/2013,"86,65"
11/05/2013,"86,52"
12/05/2013,"86,33"
13/05/2013,"86,07"
14/05/2013,"86,82"
15/05/2013,"86,49"
