Date,Cotton
2013-01-01,70.66
2013-01-02,75.53
2013-01-03,75.68
2013-01-04,74.95
2013-01-05,75.22
2013-01-06,75.42
2013-01-07,75.68
2013-01-08,75.12
2013-01-09,74.81
2013-01-10,75.03
2013-01-11,75.61
2013-01-12,75.57
2013-01-13,75.57
2013-01-14,75.51
2013-01-15,76.18
2013-01-16,77.17
2013-01-17,77.81
2013-01-18,78.72
2013-01-19,78.71
2013-01-20,78.72
2013-01-21,79.36
2013-01-22,79.96
2013-01-23,80.47
2013-01-24,82.34
2013-01-25,80.76
2013-01-26,81.06
2013-01-27,81.23
2013-01-28,81.33
2013-01-29,82.43
2013-01-30,83.03
2013-01-31,83.03
2013-02-01,83.04
2013-02-02,82.56
2013-02-03,82.11
2013-02-04,81.61
2013-02-05,81.79
2013-02-06,81.95
2013-02-07,81.44
2013-02-08,82.74
2013-02-09,82.69
2013-02-10,82.74
2013-02-11,82.89
2013-02-12,81.61
2013-02-13,81.11
2013-02-14,80.98
2013-02-15,81.27
2013-02-16,82.04
2013-02-17,82.77
2013-02-18,83.5
2013-02-19,84.29
2013-02-20,84.48
2013-02-21,83.11
2013-02-22,82.96
2013-02-23,82.56
2013-02-24,82.18
2013-02-25,81.73
2013-02-26,81.89
2013-02-27,84.54
2013-02-28,85.18
2013-03-01,85.53
2013-03-02,85.84
2013-03-03,86.15
2013-03-04,86.45
2013-03-05,87.01
2013-03-06,87.32
2013-03-07,86.28
2013-03-08,86.78
2013-03-09,86.81
2013-03-10,86.87
2013-03-11,86.89
2013-03-12,87.33
2013-03-13,88.53
2013-03-14,90.93
2013-03-15,92.57
2013-03-16,91.87
2013-03-17,91.34
2013-03-18,90.77
2013-03-19,91.04
2013-03-20,89.07
2013-03-21,88.29
2013-03-22,87.11
2013-03-23,87.04
2013-03-24,86.89
2013-03-25,86.63
2013-03-26,87.84
2013-03-27,88.56
2013-03-28,88.39
2013-03-29,88.14
2013-03-30,87.89
2013-03-31,87.65
2013-04-01,87.29
2013-04-02,88.57
2013-04-03,89.11
2013-04-04,88.15
2013-04-05,86.71
2013-04-06,86.28
2013-04-07,85.77
2013-04-08,85.26
2013-04-09,84.64
2013-04-10,85.46
2013-04-11,84.64
2013-04-12,85.99
2013-04-13,85.3
2013-04-14,84.75
2013-04-15,84.21
2013-04-16,83.36
2013-04-17,84.57
2013-04-18,83.46
2013-04-19,83.34
2013-04-20,84.23
2013-04-21,85.04
2013-04-22,86.02
2013-04-23,84.88
2013-04-24,82.99
2013-04-25,83.42
2013-04-26,84.32
2013-04-27,84.85
2013-04-28,85.4
2013-04-29,85.89
2013-04-30,87.53
2013-05-01,83.93
2013-05-02,85.66
2013-05-03,86.28
2013-05-04,86.63
2013-05-05,87.0
2013-05-06,87.42
2013-05-07,87.13
2013-05-08,87.71
2013-05-09,87.72
2013-05-10,86.65
2013-05-11,86.52
2013-05-12,86.33
2013-05-13,86.07
2013-05-14,86.82
2013-05-15,86.49
2013-05-16,86.14
2013-05-17,86.35
2013-05-18,86.11
2013-05-19,85.89
2013-05-20,85.81
2013-05-21,83.96
2013-05-22,83.44
2013-05-23,81.68
2013-05-24,81.57
2013-05-25,81.55
2013-05-26,81.51
2013-05-27,81.48
2013-05-28,81.5
2013-05-29,80.71
2013-05-30,80.37
2013-05-31,79.38
2013-06-01,80.5
2013-06-02,81.46
2013-06-03,82.35
2013-06-04,84.39
2013-06-05,83.35
2013-06-06,84.79
2013-06-07,84.75
2013-06-08,85.45
2013-06-09,86.1
2013-06-10,86.69
2013-06-11,88.11
2013-06-12,90.08
2013-06-13,91.75
2013-06-14,90.15
2013-06-15,89.61
2013-06-16,89.02
2013-06-17,88.49
2013-06-18,86.96
2013-06-19,86.67
2013-06-20,85.37
2013-06-21,84.54
2013-06-22,84.16
2013-06-23,83.75
2013-06-24,83.18
2013-06-25,84.8
2013-06-26,84.06
2013-06-27,84.0
2013-06-28,84.32
2013-06-29,84.7
2013-06-30,85.08
2013-07-01,85.53
2013-07-02,84.89
2013-07-03,85.42
2013-07-04,85.42
2013-07-05,85.17
2013-07-06,85.25
